,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
10,1108284,209660,-7,102076.56,180000,92250.0,92250.0,0.0,0.0,0.0,4500.0,4500.0,92237.355,94224.06,94224.06,5.0,5,0.0,0.0,0.0,Active,0,0
11,2740914,340339,-1,131669.145,225000,10800.0,10800.0,0.0,0.0,6000.48,6322.5,6322.5,121430.7,127891.935,127891.935,2.0,2,0.0,0.0,6.0,Active,0,0
12,1985699,302517,-4,1427.265,135000,4500.0,101304.72,0.0,96804.72,3023.955,85500.0,85500.0,0.0,0.0,0.0,1.0,30,0.0,29.0,27.0,Active,0,0
13,1441883,171537,-5,0.0,270000,0.0,0.0,0.0,0.0,12218.49,2607.795,1448.64,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,Active,0,0
14,1864742,303581,-1,0.0,45000,0.0,0.0,0.0,0.0,0.0,2.295,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59.0,Active,0,0
15,2037377,289902,-1,131294.34,135000,0.0,0.0,0.0,0.0,6774.66,6975.0,6975.0,128518.02,131294.34,131294.34,0.0,0,0.0,0.0,11.0,Active,0,0
16,1816636,255981,-6,72899.955,450000,67500.0,67500.0,0.0,0.0,2457.72,25200.0,25200.0,68954.805,71554.455,71554.455,1.0,1,0.0,0.0,42.0,Active,0,0
17,1039039,276642,-6,0.0,67500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Completed,0,0
18,2016842,302450,-3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,Completed,0,0
19,1189095,231608,-4,452774.7,450000,9000.0,9000.0,0.0,0.0,22916.475,27000.0,27000.0,440329.05,451429.2,451429.2,1.0,1,0.0,0.0,22.0,Active,0,0
20,1104090,259807,-6,45413.73,45000,105750.0,105750.0,0.0,0.0,1471.005,86887.98,84637.98,43650.855,44068.23,44068.23,3.0,3,0.0,0.0,16.0,Active,0,0
21,1683604,217113,-1,68710.14,67500,0.0,4412.25,0.0,4412.25,3315.24,3375.0,3375.0,67341.87,68710.14,68710.14,0.0,4,0.0,4.0,6.0,Active,0,0
22,2392920,132481,-1,85792.095,135000,45000.0,63337.815,0.0,18337.815,2250.0,23181.57,18521.55,85086.945,85792.095,85792.095,1.0,9,0.0,8.0,5.0,Active,0,0
23,2021411,105755,-5,464452.47,450000,135000.0,279112.5,137700.0,6412.5,8921.97,9000.0,9000.0,448552.125,456379.47,456379.47,5.0,7,1.0,1.0,25.0,Active,0,0
24,1927949,323730,-3,152801.55,157500,0.0,0.0,0.0,0.0,7875.0,7875.0,7875.0,146857.995,152801.55,152801.55,0.0,0,0.0,0.0,70.0,Active,0,0
25,1885349,195164,-6,134249.445,157500,0.0,0.0,0.0,0.0,6906.555,7200.0,7200.0,130930.965,134249.445,134249.445,0.0,0,0.0,0.0,35.0,Active,0,0
26,2024137,184131,-3,67609.125,450000,42750.0,76131.0,0.0,33381.0,2250.0,13500.0,13500.0,65466.54,66263.625,66263.625,1.0,2,0.0,1.0,33.0,Active,0,0
27,2272688,387286,-6,76235.94,180000,31500.0,32985.0,0.0,1485.0,2250.0,18919.035,14175.855,75963.78,76235.94,76235.94,2.0,4,0.0,2.0,1.0,Active,0,0
28,2561523,213409,-2,137812.185,180000,0.0,3100.5,0.0,3100.5,7041.645,9000.0,9000.0,134933.175,137812.185,137812.185,0.0,1,0.0,1.0,5.0,Active,0,0
29,1288249,406607,-4,0.0,270000,0.0,0.0,0.0,0.0,0.0,2394.18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,80.0,Active,0,0
