Task ID,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Project Name,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
5aj2f5,"być bardziej geekiem","null",to do,1589706970158,"5/17/2020, 11:16:10 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
3yp9x4,"automaty do pomiaru wirusa dla biur","null",to do,1583314899999,"3/4/2020, 10:41:39 AM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ideas","hidden","[ideas]","","","{}","[]","",,0,
64r0va,"2. BSC UW","null",complete,1592986258632,"6/24/2020, 10:10:58 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"16-20","hidden","WORK","","","{}","[]","",,0,
5rq0mw,"Bayes rule - specific version","null",to decide,1591427408019,"6/6/2020, 9:10:08 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"PROBALISTICS","MATH","SPRINTS","2700000","45 m","{}","[]","",,0,
2gev7k,"understand annotations","null",complete,1574065629227,"11/18/2019, 9:27:09 AM GMT+1",,"",,"",2emtcp,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
2jhhn2,"Make list of ML(!) companies","null",to do,1574542400038,"11/23/2019, 9:53:20 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"AI - break through","hidden","M.A.R.A.T.H.O.N.S","","","{}","[]","",,0,
5uhcr9,"DRF course","null",not to do,1591605184406,"6/8/2020, 10:33:04 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"DJANGO","hidden","SPRINTS","14400000","4 h ","{}","[]","",,0,
5rq117,"Visualize GDA and logreg on the same plot","I pomyśl dlaczego są podobne (chodzi o wzory)\n\n\n",complete,1591428164106,"6/6/2020, 9:22:44 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ML 1-2","MATH","SPRINTS","10800000","3 h ","{}","[]","",,0,
5rn0yc,"J is convex & quadratic => J has 1 minimum.","null",not to do,1591359490344,"6/5/2020, 2:18:10 PM GMT+2",,"",,"",58r6jn,"[]","[Pawel Brysch]","[]",4,"ANALYSIS","MATH","SPRINTS","1800000","30 m","{}","[]","",,0,
32fqpj,"CPU & PCIe","null",complete,1578499971260,"1/8/2020, 5:12:51 PM GMT+1",,"",,"",2yned1,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","","","{}","[]","",,0,
64kv3x,"2. Może egzamin jest zdalnie?","null",complete,1592888429555,"6/23/2020, 7:00:29 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"16-20","hidden","WORK","","","{}","[]","",,0,
64r1dj,"1 .try Docker Run","null",complete,1592986546650,"6/24/2020, 10:15:46 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"8-16","hidden","WORK","","","{}","[]","",,0,
8jk605,"python asyncs/await","null",not to do,1592903501885,"6/23/2020, 11:11:41 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
4yqpfa,"( I do REPEATeadly sth UNTIL sth )  =>   ( there INFINITELY EQUALLY outcomes )","TASK: I toss a coin repeatedly until I observe the first tails at which point I stop. Let X be the total number of coin tosses. Find P(X=5).\n\n1) outcomami są nieskonczone ciągi oroororrrrro (rownie prawdopodobne)\n2) zdarzenia (r w 6) i (o w 6) rozlaczne(i rowne 1/2, bo nie ma innej opcji)\n3) zdarzenia (r w 3) i (r w 7) rozlaczne (bo dlaczego nie). Pamietamy, ze kazdy rozny 1/2.\n4) P(x=5) = P(r w 1)*P(r w 2)*P(r w 3)  P(r w 4)  P( o w 5) [mozna traktowac jako iloczyn pieciu rozlacznych zbiorow)\n\n",complete,1588256008822,"4/30/2020, 4:13:28 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"PROBALISTICS","MATH","SPRINTS","","","{}","[]","",,0,
32f18r,"is there drop (EC, tb1, tb2, tb3)","null",complete,1578491396803,"1/8/2020, 2:49:56 PM GMT+1",,"",,"",2yned1,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","","","{}","[]","",,0,
56r1dd,"git tools - submodules","null",not to do,1589355785522,"5/13/2020, 9:43:05 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
3rmqrm,"sql - types of normalization - practical approach (sample of code optimisation)","null",to do,1582223821742,"2/20/2020, 7:37:01 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"DATA ANALYST","hidden","SPRINTS","14400000","4 h ","{}","[]","",,0,
62rzmn,"2. implement from scrath on work-pc","null",complete,1592810579254,"6/22/2020, 9:22:59 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"8-16","hidden","WORK","","","{}","[]","",,0,
2mdxdg,"mark.parametrize","null",complete,1574793508101,"11/26/2019, 7:38:28 PM GMT+1",,"",,"",2gn8wq,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
2ynd3h,"Ortophedic pillow - buy","null",not to do,1577988594527,"1/2/2020, 7:09:54 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","1800000","30 m","{}","[]","",,0,
5mjcp7,"P VALUES - how to interpret","INTERPRETACJA 1 \nP value to pole tych ""po boku"". \nIm mniejsze te pole, tym bardziej jesteśmy z boku.\nIm bardziej jesteśmy z boku, tym wartość zmiennej losowej z naszej próbki jest mniej prawdopodobna (wartość ta jest na granicy tego boku).\nIm wartość zmiennej losowej z naszej próbki  jest mniej prawdopodobne, tym mniej prawdopodobna jest sama hipoteza (która generuje tę zmienną losową).\nNie za prosto?\n\nINTERPRETACJA 2\nZakladamy jakieś rozwiązanie modelu. \nWartość otrzymana jakiejś statystyki różni się od modelowej. Znamy rozklad tej statystyki (w tym konkretnym modelu).\nP value to szansa na to, że losowa (inna) wartość otrzymana będzie się różnić JESZCZE BARDZIEJ niż nasza. \nZatem jeśli jest P value jest MAŁE, to znaczy, że CIĘŻKO różnić się jeszcze bardziej, czyli nasze rozwiązanie modelu jest MAŁO prawdopodobne.\n",complete,1590834372501,"5/30/2020, 12:26:12 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"PROBALISTICS","MATH","SPRINTS","","","{}","[]","",,0,
5pj0d5,"buy HD disc","null",not to do,1591107749754,"6/2/2020, 4:22:29 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",3,"ORGANISATION","hidden","SPRINTS","1800000","30 m","{}","[]","",,0,
62k7ba,"Why multicollinearity breaks meaning of p_values?","PRzydalaby sie taka sciezka dowodowa, po której widac dlaczego tak jest.\nMozna jeszcze sprawdzic, czy na pewno tak (chociaz to moze byc widocznie po uporzadkowaniu repo)\n\nMozliwe, ze lamiemy jakies zalozenia regresji liniowej ale nie wiem. \nCo wiecej dalej nie widzialem wszystkich zalozen regresji liniowej w jej dowodzie.\n",to decide,1592561868709,"6/19/2020, 12:17:48 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"ML 1-2","MATH","SPRINTS","7200000","2 h ","{}","[]","",,0,
3rk4kj,"Nier Automata - celować wysoko - fabryka androidów","null",to do,1582194688537,"2/20/2020, 11:31:28 AM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
2jhhbh,"Finish idea inventing","null",to do,1574541243930,"11/23/2019, 9:34:03 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"COMPANY - launch 1st","hidden","M.A.R.A.T.H.O.N.S","","","{}","[]","",,0,
5grmm3,"/lib /usr /home /var - mam się do tego stosować? - co w nich jest?","null",complete,1590515886522,"5/26/2020, 7:58:06 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"LINUX","hidden","SPRINTS","","","{}","[]","",,0,
3ce08m,"Jaki jest mój cel?","Grindowanie po start-upach? ( z czasem CTO)\nDojście do odpowiedzialnej roli w korpo (Tech Lead w Nvidii)?\n",to do,1580119436086,"1/27/2020, 11:03:56 AM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
4ppqb6,"|A| = 0 <=> A is singular","null",to do,1587060740336,"4/16/2020, 8:12:20 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",1,"ALGEBRA","MATH","SPRINTS","","","{}","[]","",,0,
42f28g,"wifi card","null",complete,1583651442553,"3/8/2020, 8:10:42 AM GMT+1",,"",,"",2yned1,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","","","{}","[]","",,0,
3rkw6a,"czy work redemption,  i nauka po web to czasem nie rownoległe watki?","null",to do,1582205947199,"2/20/2020, 2:39:07 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
62rzn3,"10. Add first true model","null",to do,1592810586154,"6/22/2020, 9:23:06 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"8-16","hidden","WORK","","","{}","[]","",,0,
3rkgz8,"AWS","null",to do,1582200186776,"2/20/2020, 1:03:06 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"PYTHON - get skills","hidden","M.A.R.A.T.H.O.N.S","288000000","80 h ","{}","[]","",,0,
64r0ud,"1. BSC UJ","null",complete,1592986245243,"6/24/2020, 10:10:45 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"16-20","hidden","WORK","","","{}","[]","",,0,
2gd4xh,"python - pylint - implement to pycharm","null",not to do,1573906883586,"11/16/2019, 1:21:23 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"Better Programmer","hidden","SPRINTS","7200000","2 h ","{}","[]","",,0,
2geaw7,"article","null",complete,1574012371802,"11/17/2019, 6:39:31 PM GMT+1",,"",,"",2cjy30,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
2mkm7k,"[python] enums","null",complete,1575040589075,"11/29/2019, 4:16:29 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
66n7th,"Latex - create database","null",complete,1593105089686,"6/25/2020, 7:11:29 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ML 1-2","MATH","SPRINTS","7200000","2 h ","{}","[]","",,0,
5aj2fb,"test, czy moge byc z Natalią - szukanie znajomych","null",to do,1589706990216,"5/17/2020, 11:16:30 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
58r6jn,"J formula => J has 1 minimum. (=> linreg has one solution)","J - cost function\n\n",to do,1589552241003,"5/15/2020, 4:17:21 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"ANALYSIS","MATH","SPRINTS","1800000","30 m","{}","[]","",,0,
64r17f,"6. BSC PWr","null",complete,1592986436844,"6/24/2020, 10:13:56 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"16-20","hidden","WORK","","","{}","[]","",,0,
5ynbyw,"-d -i -t (docker run -d -it ) - zrozumiec","null",not to do,1592217578739,"6/15/2020, 12:39:38 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"DOCKER","hidden","SPRINTS","","","{}","[]","",,0,
32f1bd,"eGPU & ML","null",complete,1578491438495,"1/8/2020, 2:50:38 PM GMT+1",,"",,"",2yned1,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","","","{}","[]","",,0,
5rt2u3,"Bayes vs Non-Bayes - example with dices","null",complete,1591544785640,"6/7/2020, 5:46:25 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ML 1-2","MATH","SPRINTS","7200000","2 h ","{}","[]","",,0,
2jhhmy,"Create scrapers","null",to do,1574542334308,"11/23/2019, 9:52:14 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"AI - break through","hidden","M.A.R.A.T.H.O.N.S","","","{}","[]","",,0,
3jk90a,"Do stracenia jest czas na wychodzenie z bagna- na pewno?","null",to do,1581317720614,"2/10/2020, 7:55:20 AM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
5eme9y,"Point estimation","8.2 Hindus\n",complete,1590132502015,"5/22/2020, 9:28:22 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ML 1-2","MATH","SPRINTS","28800000","8 h ","{}","[]","",,0,
2ynbwr,"Hackatons - do list for 2019","\n",complete,1577987542501,"1/2/2020, 6:52:22 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","14400000","4 h ","{}","[]","",,0,
4ppq93,"range(A^T) + nullspace(A) = R^n","I proved that common part of these sets is equal to {0}.\n",to do,1587060593392,"4/16/2020, 8:09:53 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"ALGEBRA","MATH","SPRINTS","","","{}","[]","",,0,
66ubju,"get loza szydercow knowledge","null",not to do,1593329639469,"6/28/2020, 9:33:59 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","","","{}","[]","",,0,
2ynd2q,"Meditation - find book","null",not to do,1577988494218,"1/2/2020, 7:08:14 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",4,"ORGANISATION","hidden","SPRINTS","7200000","2 h ","{}","[]","",,0,
2emtcp,"python - mypy","https://4programmers.net/Mikroblogi/View/34268\n",not to do,1573819789888,"11/15/2019, 1:09:49 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","7200000","2 h ","{}","[]","",,0,
3wjvxn,"Hackerrank - AI","null",to do,1582815095346,"2/27/2020, 3:51:35 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"AI - break through","hidden","M.A.R.A.T.H.O.N.S","","","{}","[]","",,0,
62jdbb,"Interraction effect - plot fitted means","null",to decide,1592551533633,"6/19/2020, 9:25:33 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",3,"ML 1-2","MATH","SPRINTS","3600000","1 h ","{}","[]","",,0,
5mjc7f,"mean hypothesis test - difference between ""α"" and ""α/2""","Szukamy przedziału nieufności (rejection region, ""ten po bokach""). Oznacza on tyle, że jak statystyka z pomiaru tam wpadnie, to odrzucamy tę hipoteze. Z zasady powinna być obustronność. Jednostronność jest wtedy, kiedy nie ma prawa być daleko po jednej stronie (inaczej: kiedy zakładamy, że jak coś się spierdoli, to tylko w jedną stronę).\n",complete,1590833867176,"5/30/2020, 12:17:47 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"PROBALISTICS","MATH","SPRINTS","","","{}","[]","",,0,
3jk988,"Boston dynamics?","null",to do,1581318117423,"2/10/2020, 8:01:57 AM GMT+1",,"",,"",null,"[]","[]","[]",null,"worries","hidden","[worries]","","","{}","[]","",,0,
4ppqec,"Gram matrix is positive semidefinite","null",to do,1587060934396,"4/16/2020, 8:15:34 PM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",2,"ALGEBRA","MATH","SPRINTS","","","{}","[]","",,0,
42jxah,"WAR - login with admin laws","null",complete,1583775268216,"3/9/2020, 6:34:28 PM GMT+1",,"",,"",2yned1,"[]","[Pawel Brysch]","[]",null,"ORGANISATION","hidden","SPRINTS","","","{}","[]","",,0,
64r178,"5. BSC UWr","null",complete,1592986432317,"6/24/2020, 10:13:52 AM GMT+2",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"16-20","hidden","WORK","","","{}","[]","",,0,
2cjy30,"CS - REST API","https://www.smashingmagazine.com/2018/01/understanding-using-rest-api/\nhttps://github.com/public-apis/public-apis#animals\nhttps://www.youtube.com/user/TechGuyWeb/search?query=API\nhttps://github.com/kurs-javascript/js-ajax\n",not to do,1573328750758,"11/9/2019, 8:45:50 PM GMT+1",,"",,"",null,"[]","[Pawel Brysch]","[]",null,"Better Programmer","hidden","SPRINTS","","","{}","[]","",,0,
